Contrato - ID de contrato,Tipo de contrato,Organización - Departamento,Partes afectadas - Nombre del proveedor (L1),Contrato - Fecha de expiración,dias_hasta_vencimiento,Estado del contrato
CW2286077,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CENPA IPS LTDA,2026-05-18,7.0,Publicado
CW2286077,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CENPA IPS LTDA,2026-05-18,7.0,Publicado
CW2261146,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,CONSULTORIAS INTEGRALES ESPECIALIZA,2026-05-18,7.0,Publicado
CW2261166,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,TRAINING GROUP TAR S.A.S,2026-05-18,7.0,Publicado
CW2285916,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,AVENIR CIA LTDA,2026-05-18,7.0,Publicado
CW2345991,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,INSPIRA CENTRO DE APOYO PSICOPEDAGO,2026-05-18,7.0,Publicado
CW2261130,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,PREVENGO S.A.S.,2026-05-18,7.0,Publicado
CW2345991,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,INSPIRA CENTRO DE APOYO PSICOPEDAGO,2026-05-18,7.0,Publicado
CW2261369,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,JUAN PABLO ACOSTA MONSALVE,2026-05-19,8.0,Publicado
CW2261316,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,KELSEY CONSULTING GROUP SAS,2026-05-19,8.0,Publicado
CW2261185,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,EMPRESA SEGURIDAD INDUSTRIAL Y SALU,2026-05-19,8.0,Publicado
CW2309050,CONTRATO DE PRESTACIÓN DE SERVICIOS (EPS SURA),Estructuracion de la Red,UNIDAD DE CUIDADOS PALIATIVOS,2026-05-19,8.0,Publicado
CW2261179,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,SAFE TIC SAS,2026-05-19,8.0,Publicado
CW2261386,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,JOSE JOAQUIN SILVA MUÑOZ,2026-05-19,8.0,Publicado
CW2261368,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,GUIDO MARCELO RINCON AREVALO,2026-05-19,8.0,Publicado
CW2261175,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,ASESORIAS EMPRESARIALES HSEQ SAS,2026-05-19,8.0,Publicado
CW2261342,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,INTERVENIR RIESGOS LABORALES SAS,2026-05-19,8.0,Publicado
CW2261342,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,INTERVENIR RIESGOS LABORALES SAS,2026-05-19,8.0,Publicado
CW2261193,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,DHI DESARROLLO HUMANO INTEGRAL SAS,2026-05-19,8.0,Publicado
CW2224580,CONTRATO DE CONCESIÓN DE ESPACIO COMERCIAL,Construccion y adecuaciones,CENTRO COMERCIAL LOS MOLINOS P.H,2026-05-19,8.0,Publicado
CW2261316,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,KELSEY CONSULTING GROUP SAS,2026-05-19,8.0,Publicado
CW2258203,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,AZA GESTION DEL RIESGO SAS,2026-05-19,8.0,Publicado
CW2304813,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,AZA GESTION DEL RIESGO SAS,2026-05-19,8.0,Publicado
CW2288494,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,ASESORIAS EMPRESARIALES HSEQ SAS,2026-05-19,8.0,Publicado
CW2304813,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,AZA GESTION DEL RIESGO SAS,2026-05-19,8.0,Publicado
CW2346374,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,OLOVER STUDIO S.A.S.,2026-05-19,8.0,Publicado
CW2261369,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,JUAN PABLO ACOSTA MONSALVE,2026-05-19,8.0,Publicado
CW2346374,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,OLOVER STUDIO S.A.S.,2026-05-19,8.0,Publicado
CW2261386,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,JOSE JOAQUIN SILVA MUÑOZ,2026-05-19,8.0,Publicado
CW2261175,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,ASESORIAS EMPRESARIALES HSEQ SAS,2026-05-19,8.0,Publicado
CW2261185,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,EMPRESA SEGURIDAD INDUSTRIAL Y SALU,2026-05-19,8.0,Publicado
CW2288494,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,ASESORIAS EMPRESARIALES HSEQ SAS,2026-05-19,8.0,Publicado
CW2313786,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,GRUPO HOTELERO SUNRISE G.H.S.S.A,2026-05-19,8.0,Publicado
CW2313762,CONTRATO DE PRESTACIÓN DE SERVICIOS NEGOCIO (PÓLIZA DE SALUD),Salud,CLINICA LOS NEVADOS S.A.S,2026-05-19,8.0,Borrador
CW2262382,CONTRATO DE ARRENDAMIENTO COMERCIAL DE INMUEBLE,Gestion administrativa,HUMBERTO GIRALDO GARCIA,2026-05-19,8.0,Publicado
CW2261368,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,GUIDO MARCELO RINCON AREVALO,2026-05-19,8.0,Publicado
CW2362630,CONTRATO DE PRESTACIÓN DE SERVICIOS (EPS SURA),Estructuracion de la Red,LUISA FERNANDA ARIAS TOBON,2026-05-19,8.0,Publicado
CW2258203,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,AZA GESTION DEL RIESGO SAS,2026-05-19,8.0,Publicado
CW2261179,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,SAFE TIC SAS,2026-05-19,8.0,Publicado
CW2261661,CONTRATO DE PRESTACIÓN DE SERVICIOS NEGOCIO (PÓLIZA DE SALUD),Salud,DANNA JACKELINE PEREZ OROZCO,2026-05-19,8.0,Publicado
CW2261193,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,DHI DESARROLLO HUMANO INTEGRAL SAS,2026-05-19,8.0,Publicado
CW2262378,CONTRATO DE ARRENDAMIENTO COMERCIAL DE INMUEBLE,Gestion administrativa,LUZ ESTELLA DUQUE ARCILA,2026-05-20,9.0,Publicado
CW2377193,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,BENEMERITO CUERPO DE BOMBEROS VOLUN,2026-05-20,9.0,Borrador
CW2346570,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CLINICA DE FRACTURAS SAS,2026-05-20,9.0,Publicado
CW2377196,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,JOSE JOAQUIN SILVA MUÑOZ,2026-05-20,9.0,Publicado
CW2377196,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,JOSE JOAQUIN SILVA MUÑOZ,2026-05-20,9.0,Publicado
41541,,Asistencia,GRUAS LONDOÑO S.A.S,2026-05-20,9.0,Cerrado
CW2377193,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,BENEMERITO CUERPO DE BOMBEROS VOLUN,2026-05-20,9.0,Borrador
CW2336480,CONTRATO MARCO DE SERVICIOS,Desarrollo Organizacional y Mercadeo,KAREN ANDREA TORRES MARIN,2026-05-20,9.0,Publicado
CW2346570,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CLINICA DE FRACTURAS SAS,2026-05-20,9.0,Publicado
CW2261714,CONTRATO DE ARRENDAMIENTO COMERCIAL DE INMUEBLE,Gestion administrativa,E.S.E. HOSPITAL SAN JOSE DE AGUADA,2026-05-20,9.0,Publicado
79191,,ARL Salud,E.S.E HOSPITAL SAN JULIAN DEL MPIO,2026-05-21,10.0,Publicado
79191,,ARL Salud,E.S.E HOSPITAL SAN JULIAN DEL MPIO,2026-05-21,10.0,Publicado
CW2341258,CONTRATO DE PRESTACIÓN DE SERVICIOS DE NEGOCIO (CGR - SALUD ARL),ARL Salud,CLINICA VALLE SALUD SAN FERNANDO S.,2026-05-22,11.0,Publicado
CW2261557,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,INSIGEST SAS,2026-05-22,11.0,Modificación del borrador
CW2261569,CONTRATO DE PRESTACIÓN DE SERVICIOS DE PREVENCIÓN (ARL),ARL Prevención,MV ASESORES SAS,2026-05-22,11.0,Publicado
